[00:00:00.000 --> 00:00:06.000]   Okay, you should now be able to see my desktop.
[00:00:06.000 --> 00:00:11.000]   Is that correct?
[00:00:11.000 --> 00:00:14.000]   Okay, thank you.
[00:00:14.000 --> 00:00:21.000]   Okay, thank you very much.
[00:00:23.000 --> 00:00:39.000]   So, first of all, I must say that I'm really sorry about the inconvenience of last week. Hopefully, this week, everything should work quite fine.
[00:00:40.000 --> 00:00:57.000]   I had to upgrade some of my devices in order to have a better connection. I also needed to create a new room because I was not able to share my desktop in the other Zoom room.
[00:00:57.000 --> 00:01:06.000]   And so I believe that for my classes, we will be using this new link.
[00:01:07.000 --> 00:01:14.000]   If something goes wrong, that is to say if the connection or
[00:01:14.000 --> 00:01:25.000]   audio of this lecture is not working fine, we can switch to
[00:01:25.000 --> 00:01:30.000]   Google Meet.
[00:01:33.000 --> 00:01:41.000]   In the mail I've sent to you yesterday, there is a link also for joining that meeting room.
[00:01:41.000 --> 00:01:49.000]   Okay, so let's get started. Well, just a note about our organization.
[00:01:50.000 --> 00:02:04.000]   We are a week behind, so during this week I will try to upload a video lecture, hopefully by Tuesday or Friday.
[00:02:04.000 --> 00:02:18.000]   The same will be done next week. So in this week and the next week we will have three lectures, two of them online.
[00:02:19.000 --> 00:02:33.000]   There will be a timetable we have agreed on and two of those lectures will be just video lectures.
[00:02:33.000 --> 00:02:43.000]   So anyway, we will be able to discuss and to ask questions or whatever during our online meeting.
[00:02:44.000 --> 00:02:55.000]   Okay, so since we couldn't do anything last time we met, I will start over again by talking about the legal system in general.
[00:02:55.000 --> 00:03:13.000]   And I will try to give you some basic concepts about the legal system and about our lawyers do interact with the legal system in terms of knowledge, in terms of rule creation and so on and so forth.
[00:03:13.000 --> 00:03:24.000]   So, as I said the last time, I'm going to start by giving you a formal definition of what the law is.
[00:03:24.000 --> 00:03:37.000]   And we will see that that definition actually is deeply rooted within what I've been calling the Western legal tradition.
[00:03:37.000 --> 00:03:39.000]   Sorry.
[00:03:39.000 --> 00:03:40.000]   Sorry.
[00:03:45.000 --> 00:04:14.000]   And as I said the last time, the Western legal tradition plays a very important role in the global and international order, because the Western legal tradition is the tradition embraced by the most powerful economies, economies in the world.
[00:04:14.000 --> 00:04:31.000]   Starting from the United States, Europe, and so on and so forth. But I will also try to stress the fact that the Western legal tradition is not the only legal tradition in the world.
[00:04:32.000 --> 00:04:47.000]   There are other different legal traditions which are very important, which are managing huge communities and just think about the Chinese legal system.
[00:04:48.000 --> 00:05:09.000]   Chinese legal system is very different from the Western legal tradition, even though we will see that the Western legal tradition, especially in the fields, we will be covering at a very important role in shaping the institutional framework.
[00:05:10.000 --> 00:05:26.000]   Think about intellectual property or about privacy and that international framework was then able to influence almost every other legal tradition in the world.
[00:05:27.000 --> 00:05:41.000]   When we are talking about intellectual property, and we will see what intellectual property actually means, we will see that intellectual property is basically the same all over the world.
[00:05:42.000 --> 00:06:01.000]   The Chinese regulation of intellectual property is not very different from the European regulation of intellectual property, which is not, as you may understand, different from the United States intellectual property regulation.
[00:06:01.000 --> 00:06:20.000]   That's also something we have to keep in mind because when talking about intellectual property, when talking about privacy, we will be talking about a set of rules which has been developed at the international level.
[00:06:21.000 --> 00:06:39.000]   When talking about intellectual property is made up of international treaties, those treaties are then implemented at the national level with some differences but the basic principles are common to almost every legal legal system.
[00:06:40.000 --> 00:06:55.000]   And when talking about intellectual property, we lawyers believe that intellectual property was one of the first globalized legal institutions.
[00:06:56.000 --> 00:07:20.000]   In order to understand those basic principles governing the law, we must first start talking about a definition of what the law is. And as I said last time now, we are looking at two different, I don't know whether this is interfering with your vision.
[00:07:21.000 --> 00:07:45.000]   Also, I have to, yeah, sometimes I will have to switch to the chat room so that I can read some questions or whatever. Anyway, if you do not understand something you can also open your microphone and just start talking so I can hear you without having to switch to the chat room.
[00:07:46.000 --> 00:07:56.000]   So, those are two definitions. The first one is a very common definition about among lawyers belong into the Western legal tradition.
[00:07:56.000 --> 00:08:04.000]   The law is a body of rules that regulate the social behavior of the community of people in a given territory.
[00:08:04.000 --> 00:08:20.000]   And probably, as I said the last time there are three important concepts that must be taken from that definition. The first one is the fact that the law consists in a body of rules.
[00:08:20.000 --> 00:08:29.000]   And, you know, with body of rules we mean that those rules are creating a system.
[00:08:29.000 --> 00:08:55.000]   This is the reason why we call the legal system, legal system indeed. So, that body of rules should be thought as a coordinated set of rules without contradictions without deficiencies and without any kind of inconsistency, and so on and so forth.
[00:08:55.000 --> 00:09:21.000]   Well, this is actually the ideal situation because we will have to instead see that at the practical level, when the number of rules is growing and growing, we will see that there are problems of coordination of contradictions, and so on and so forth.
[00:09:21.000 --> 00:09:45.000]   The second important part of this definition is given by the fact that that set of rules is meant to regulate the social behavior of the community, where with a community of people we mean a group of individuals or of collective entities.
[00:09:45.000 --> 00:09:55.000]   Think about associations, corporations, or political parties, labor union, and so on and so forth.
[00:09:55.000 --> 00:10:13.000]   So, the fact that the important part of this definition is that we believe that the legal system is going to regulate the social behavior.
[00:10:13.000 --> 00:10:33.000]   That is to say, the relationship among those individuals and collective entities, but it is not meant to regulate, you know, the internal state of those individuals.
[00:10:33.000 --> 00:10:50.000]   So, we indeed must keep in mind that there are also other body of rules which regulate the behavior of individuals, but that are not legal.
[00:10:50.000 --> 00:10:55.000]   What does that mean?
[00:10:55.000 --> 00:11:03.000]   Think about religion or ethics or good manners.
[00:11:03.000 --> 00:11:07.000]   Those are rules.
[00:11:07.000 --> 00:11:15.000]   For instance, when you sit at the table eating with someone else, you will be following some rules.
[00:11:15.000 --> 00:11:24.000]   But those rules are not legal rules. Those rules are generated in different domains.
[00:11:24.000 --> 00:11:40.000]   And as you know, by traveling around the world, you will see that the rules applied to that specific situation vary are very different from a place to another place.
[00:11:40.000 --> 00:11:46.000]   Another set of non-legal rules are the so-called social norms.
[00:11:46.000 --> 00:11:58.000]   Social norms are meant to regulate in a very informal way the social behavior of individuals.
[00:11:58.000 --> 00:12:19.000]   Instead, when we are talking about legal rules, we are referring to a set of rules which may be enforced by some kind of authority, by some kind of institutions.
[00:12:19.000 --> 00:12:38.000]   For instance, if we sign a contract which is regulated by, you know, the formal legal rules governing contracts, well, when we sign a contract, we will be entering into a legal relationship.
[00:12:38.000 --> 00:13:07.000]   And that legal relationship basically consists in the possibility for one of the parties of that contract to go in front of the judge because that party believes that the other party did not perform the obligations of the contract correctly.
[00:13:07.000 --> 00:13:22.000]   And by going in front of the judge, the judge will be able, will have the power to decide which part is right, which is not, which is wrong.
[00:13:22.000 --> 00:13:51.000]   And the judge will be able to create some legal remedies, some bounding legal remedies, which will be applied to the individuals, to the parties involved in the contract without their consent.
[00:13:51.000 --> 00:14:02.000]   By the use of the force of sort of ritualized violence.
[00:14:02.000 --> 00:14:24.000]   I don't know if you buy something without paying in it, and the seller brings you in front of a judge, you will have a judge condemning you to pay the amount of money you were bound to pay by the contract.
[00:14:24.000 --> 00:14:43.000]   And if you're not willing to pay it, then the judge will be able to use the force of the government or the police or of some other institutions in order to get the money and give that money to the seller.
[00:14:43.000 --> 00:15:09.000]   And that brings me to the second definition of the legal system that I have taken from Wikipedia, according to which the law is a formal regime that orders human activities and relations through systematic application of the force of a governing body and society it rules over.
[00:15:09.000 --> 00:15:33.000]   So, in that second definition we do not focus on the legal system meant as a body of rules, but instead we focus on the remedies on what is possible to do when a given rule has been broken by some someone.
[00:15:33.000 --> 00:15:49.000]   And what we can do is to arise the problem where the basically the judiciary system in order to enforce the rule.
[00:15:49.000 --> 00:16:02.000]   As I said once again, without the consent of being the vid walls towards whom those rules were meant to be applied.
[00:16:02.000 --> 00:16:27.000]   So we have two different definitions. The first one refers to the set of rules, set of legal rules, whereas instead of the second definition refers to the possibility to enforce those rules by using a form of violence.
[00:16:27.000 --> 00:16:49.000]   And that is quite important because we usually believe that at the very beginning of the history of human society is violence was not a monopoly of the state.
[00:16:49.000 --> 00:17:10.000]   In order to have a state which has the monopoly over the use and the application of the force of the violence in order to enforce the rules, we have to wait quite a lot.
[00:17:10.000 --> 00:17:31.000]   The first state were created, I don't know, five, six century, six million, six, okay, let me rephrase sorry.
[00:17:31.000 --> 00:17:41.000]   The first state appear in the history of humanity, six, five, six thousand years ago.
[00:17:41.000 --> 00:18:07.000]   Instead before we had informal societies with not without any centralized monopoly over the use of the violence in order to to enforce legal rules.
[00:18:07.000 --> 00:18:12.000]   So, let's go back to the Western legal tradition.
[00:18:12.000 --> 00:18:22.000]   And let's briefly describe the development of that legal tradition.
[00:18:22.000 --> 00:18:41.000]   As I said, the Western legal tradition is a tradition which is very different from other legal traditions. There are other legal traditions like the Chinese legal tradition, as I said, but there are also many different legal traditions in Africa.
[00:18:41.000 --> 00:18:54.000]   Those legal traditions are very different from ours. Our legal tradition is, as I said,
[00:18:54.000 --> 00:19:03.000]   centered on the idea that the legal system is a set of coordinated rules.
[00:19:03.000 --> 00:19:21.000]   But there is also something more. The roots of our legal tradition can be found in the Latin and Roman legal traditions.
[00:19:21.000 --> 00:19:41.000]   You know, Rome was the capital of a huge empire, one of the greatest empires ever created in human history.
