[00:00:00.000 --> 00:00:10.000]   [ Pause ]
[00:00:10.000 --> 00:00:32.000]   [ Pause ]
[00:00:32.000 --> 00:00:46.000]   Okay.
[00:00:46.000 --> 00:01:04.000]   [ Pause ]
[00:01:04.000 --> 00:01:28.000]   [ Pause ]
[00:01:28.000 --> 00:01:29.000]   Okay.
[00:01:29.000 --> 00:01:35.000]   Nice to meet you.
[00:01:35.000 --> 00:01:42.000]   I'm Andreo Sato and together with Professor Dandrea I'm teaching privacy and teleco-property
[00:01:42.000 --> 00:01:43.000]   right.
[00:01:43.000 --> 00:01:52.000]   Unlike Professor Dandrea I'm a lawyer so I will--well, you saw that because probably
[00:01:52.000 --> 00:01:59.000]   I've been watching my first lecture on legal system and legal analysis.
[00:01:59.000 --> 00:02:07.000]   I don't know what's going on here but hopefully let's see.
[00:02:07.000 --> 00:02:09.000]   Okay.
[00:02:09.000 --> 00:02:21.000]   I don't know what--why?
[00:02:21.000 --> 00:02:22.000]   Okay.
[00:02:22.000 --> 00:02:23.000]   Keep.
[00:02:23.000 --> 00:02:27.000]   Now I understand.
[00:02:27.000 --> 00:02:30.000]   I'm sorry for last Friday.
[00:02:30.000 --> 00:02:35.000]   I was planning to come here and deliver my lecture but actually I had a very bad call
[00:02:35.000 --> 00:02:44.000]   so I couldn't speak actually so that's the reason why I have to conceal the class right
[00:02:44.000 --> 00:02:45.000]   Friday.
[00:02:45.000 --> 00:02:50.000]   Do you have any questions about video you have been watching about the legal system and legal
[00:02:50.000 --> 00:02:51.000]   analysis?
[00:02:51.000 --> 00:02:52.000]   Okay.
[00:02:52.000 --> 00:03:01.000]   If not we can start talking about copyright so we can start digging into one of the main
[00:03:01.000 --> 00:03:04.000]   subjects of our course, inter-level property.
[00:03:04.000 --> 00:03:12.000]   And in order to understand what inter-level property is I think that historical perspective
[00:03:12.000 --> 00:03:23.000]   is the best option because--well, first of all because there seems to be a perceived
[00:03:23.000 --> 00:03:33.000]   connection between the invention of inter-level property and the technological revolution.
[00:03:33.000 --> 00:03:34.000]   Okay.
[00:03:34.000 --> 00:03:45.000]   We will see that usually legal scholars and economists think that inter-level property
[00:03:45.000 --> 00:03:53.000]   and specifically copyright was created because of the technological revolution represented
[00:03:53.000 --> 00:04:00.000]   by the invention of the printing press.
[00:04:00.000 --> 00:04:07.000]   But that troubles some somehow.
[00:04:07.000 --> 00:04:20.000]   Anyway, this is interesting because actually inter-level property has become one of the
[00:04:20.000 --> 00:04:24.000]   major legal issues in the digital age.
[00:04:24.000 --> 00:04:33.000]   And we will see that thanks to the development and deployment of information and communication
[00:04:33.000 --> 00:04:52.000]   technologies we had a very rapid legal change related to inter-level property.
[00:04:52.000 --> 00:04:59.000]   Starting from the end of the last century, the digital millennium copyright act, the
[00:04:59.000 --> 00:05:04.000]   Sony Bono copyright extension act, and so on and so forth.
[00:05:04.000 --> 00:05:18.000]   So those legal innovations were perceived as being caused by the technological revolution
[00:05:18.000 --> 00:05:21.000]   of the digital age.
[00:05:21.000 --> 00:05:33.000]   In a very similar way of what happened during the 15th, 16th, and 18th century.
[00:05:33.000 --> 00:05:43.000]   So usually we believe that inter-level property is related to the technology we use to spread
[00:05:43.000 --> 00:05:47.000]   and to enjoy and to perceive inter-level works.
[00:05:47.000 --> 00:05:56.000]   If you think about books for instance, before the invention of the printing press books
[00:05:56.000 --> 00:05:59.000]   were manually copied by copyists.
[00:05:59.000 --> 00:06:09.000]   And as you may understand the cost of making the first copy in terms of physical effort
[00:06:09.000 --> 00:06:17.000]   and writing the first copy of your book was not very different from making the second
[00:06:17.000 --> 00:06:20.000]   copy and the third copy and so on and so forth.
[00:06:20.000 --> 00:06:29.000]   That is to say the marginal cost of a book was basically constant because it took the
[00:06:29.000 --> 00:06:33.000]   same amount of time to manually copy it.
[00:06:33.000 --> 00:06:43.000]   Instead the invention of the printing press changed the cost structure of producing a
[00:06:43.000 --> 00:06:44.000]   book.
[00:06:44.000 --> 00:06:51.000]   Because with the printing press you should prepare the first copy but after that you
[00:06:51.000 --> 00:07:01.000]   could start printing and printing the same book many different times at the cost of the
[00:07:01.000 --> 00:07:03.000]   ink and the paper.
[00:07:03.000 --> 00:07:20.000]   So no labor, well actually there is some labor but not as intense and not so great as the
[00:07:20.000 --> 00:07:24.000]   effort needed to manually copy a book.
[00:07:24.000 --> 00:07:39.000]   But if we look at the historical development we see that the first epiphany of the printing
[00:07:39.000 --> 00:07:45.000]   press was the publication by Gutenberg of the Bible translated into German.
[00:07:45.000 --> 00:07:52.000]   And that publication took place in 1455.
[00:07:52.000 --> 00:08:04.000]   Instead if we look at the first legal document talking about copyright we have to wait till
[00:08:04.000 --> 00:08:09.000]   1710 the State of the Fan.
[00:08:09.000 --> 00:08:17.000]   Moreover if we read the State of the Fan we read something weird.
[00:08:17.000 --> 00:08:24.000]   Look there, an act for the encouragement of learning by investing the copies of printed
[00:08:24.000 --> 00:08:32.000]   books in the authors or processors of such copies during the times Dereen mentioned.
[00:08:32.000 --> 00:08:38.000]   So an act for the encouragement of learning.
[00:08:38.000 --> 00:08:48.000]   It was not about the protection of authors, it was about the protection of the community
[00:08:48.000 --> 00:08:50.000]   of readers.
[00:08:50.000 --> 00:09:05.000]   The fact that books are useful for the cultural growth of a society.
[00:09:05.000 --> 00:09:17.000]   And if we read another early document related to copyright and intellectual property in
[00:09:17.000 --> 00:09:28.000]   general, well that's the US Constitution Article 1 Section 8, close 8, which reads,
[00:09:28.000 --> 00:09:34.000]   "The Congress has shared the power to promote the progress of science and useful arts by
[00:09:34.000 --> 00:09:42.000]   securing for limited times to authors and inventors the exclusive right to their respective writings
[00:09:42.000 --> 00:09:45.000]   and discoveries."
[00:09:45.000 --> 00:09:51.000]   Well the meaning is almost the same of the State of the Fan.
[00:09:51.000 --> 00:10:04.000]   The creation of copyright in terms of an exclusive right given to authors is not meant to reward
[00:10:04.000 --> 00:10:12.000]   authors but is meant to promote the progress of science and useful arts.
