[00:00:00.000 --> 00:00:27.000]   [ Background noise ]
[00:00:27.000 --> 00:00:35.800]   >> Since there is an overlapping between the, our Friday class and some other lectures,
[00:00:35.800 --> 00:00:42.720]   together with Professor Dandrea we are trying to find sort of an obvious solution,
[00:00:42.720 --> 00:00:47.960]   maybe by providing you with the videos of the last year or something like that.
[00:00:47.960 --> 00:00:56.240]   But we are trying to work everything out so we will let you know as soon as possible, okay?
[00:00:56.240 --> 00:01:03.360]   So I already have loaded the next slide about the legal protection of computer programs.
[00:01:03.360 --> 00:01:10.240]   So I don't know whether today we will be able to start it, but anyway it is there.
[00:01:10.240 --> 00:01:16.920]   [ Background noise ]
[00:01:16.920 --> 00:01:25.680]   I'm really sorry because today I'm very tired, I had a headache and I have to speak English.
[00:01:25.680 --> 00:01:32.960]   So probably I will be more boring than usual, which is quite bad for you I think.
[00:01:32.960 --> 00:01:36.680]   Anyway I will try to do my best.
[00:01:36.680 --> 00:01:43.160]   Okay, last time we were talking about the basic principles of copyright law
[00:01:43.160 --> 00:01:52.920]   and we were trying to understand the two types of limitations to the exclusive rights
[00:01:52.920 --> 00:01:58.200]   in order to make the exclusive rights compatible with the scope of copyright legislation,
[00:01:58.200 --> 00:02:07.720]   that is to say the promotion of science, the encouragement of learning and so on and so forth.
[00:02:07.720 --> 00:02:18.240]   So if you remember we started talking about originality and the expression idea that I encountered, okay?
[00:02:18.240 --> 00:02:33.440]   The third, you remember we were talking about basically four limitations of the extension
[00:02:33.440 --> 00:02:38.760]   of the copyright, of the exclusive rights represented by copyright.
[00:02:38.760 --> 00:02:45.720]   And on the other side we were talking about another dimension of limitation
[00:02:45.720 --> 00:02:51.320]   which is time duration or time limit of copyright protection.
[00:02:51.320 --> 00:02:59.600]   So we have been talking about originality, we have been talking about expression idea dichotomy.
[00:02:59.600 --> 00:03:08.520]   You remember we said that copyright does protect only expressions and not ideas.
[00:03:08.520 --> 00:03:17.720]   So basically you understand that this is quite at the core of copyright legislation
[00:03:17.720 --> 00:03:29.320]   because basically we can see copyright as a form of exchange between authors and society.
[00:03:29.320 --> 00:03:39.120]   Authors are going to provide new ideas or make old ideas better or stuff like that
