[00:00:00.000 --> 00:00:26.000]   [ Silence ]
[00:00:26.000 --> 00:00:32.000]   >> So, last time we have been looking at the--
[00:00:32.000 --> 00:00:41.000]   [ Noise ]
[00:00:41.000 --> 00:00:51.000]   [ Noise ]
[00:00:51.000 --> 00:01:01.000]   [ Noise ]
[00:01:01.000 --> 00:01:11.000]   [ Noise ]
[00:01:11.000 --> 00:01:21.000]   [ Noise ]
[00:01:21.000 --> 00:01:29.000]   [ Noise ]
[00:01:29.000 --> 00:01:39.000]   [ Noise ]
[00:01:39.000 --> 00:01:49.000]   [ Noise ]
[00:01:49.000 --> 00:01:53.000]   [ Noise ]
[00:01:53.000 --> 00:02:03.000]   [ Noise ]
[00:02:03.000 --> 00:02:13.000]   [ Noise ]
[00:02:13.000 --> 00:02:23.000]   [ Noise ]
[00:02:23.000 --> 00:02:33.000]   [ Noise ]
[00:02:33.000 --> 00:02:38.000]   >> The MIT decided to change the devices of version 7
[00:02:38.000 --> 00:02:40.000]   of the UNIX operating system in order
[00:02:40.000 --> 00:02:45.000]   to have a trade secrecy protection of the read.
[00:02:45.000 --> 00:02:47.000]   And obviously that meant
[00:02:47.000 --> 00:02:49.000]   that the source code could not be used
[00:02:49.000 --> 00:02:52.000]   in universities any longer.
[00:02:52.000 --> 00:02:57.000]   I think that we could look at that date as the starting point
[00:02:57.000 --> 00:03:02.000]   of the creation of a real software industry which was
[00:03:02.000 --> 00:03:06.000]   independent from the hardware industry
[00:03:06.000 --> 00:03:10.000]   which dominated information technologies at that time.
[00:03:10.000 --> 00:03:11.000]   And--
[00:03:11.000 --> 00:03:14.000]   [ Noise ]
[00:03:14.000 --> 00:03:15.000]   >> And--
[00:03:15.000 --> 00:03:19.000]   [ Noise ]
[00:03:19.000 --> 00:03:20.000]   >> And--
[00:03:20.000 --> 00:03:24.000]   [ Noise ]
[00:03:24.000 --> 00:03:26.000]   >> That separation between hardware
[00:03:26.000 --> 00:03:29.000]   and software was basically made possible
[00:03:29.000 --> 00:03:32.000]   by a technological innovation.
[00:03:32.000 --> 00:03:36.000]   The creation of a nine-level language program--
[00:03:36.000 --> 00:03:42.000]   of a nine-level programming language which made it possible
[00:03:42.000 --> 00:03:46.000]   to write the same piece of software and run it
[00:03:46.000 --> 00:03:48.000]   on different hardware architecture.
[00:03:48.000 --> 00:03:53.000]   And as you know, right after ADMT was splitting
[00:03:53.000 --> 00:03:58.000]   to be so-called belly bells, local telephone companies,
[00:03:58.000 --> 00:04:04.000]   ADMT was able to enter the software industry.
[00:04:04.000 --> 00:04:07.000]   And starting from 1982,
[00:04:07.000 --> 00:04:10.000]   they created the UNIX system laboratories
[00:04:10.000 --> 00:04:15.000]   and they started selling as I told you last time,
[00:04:15.000 --> 00:04:19.000]   many different-- well, they were selling the code base
[00:04:19.000 --> 00:04:23.000]   but each software house was using that code base
[00:04:23.000 --> 00:04:28.000]   for basically creating their own flavor
[00:04:28.000 --> 00:04:31.000]   of UNIX operating system.
[00:04:31.000 --> 00:04:35.000]   The nice thing-- the nice side effect--
[00:04:35.000 --> 00:04:39.000]   well, at first it was a mess as you may understand
[00:04:39.000 --> 00:04:44.000]   because every flavor was departing from the code base
[00:04:44.000 --> 00:04:48.000]   and so the program written for AIX,
[00:04:48.000 --> 00:04:54.000]   the IBM version was not run directly on the Ultrix version
[00:04:54.000 --> 00:04:56.000]   and so on and so forth.
[00:04:56.000 --> 00:05:00.000]   And so there was the need to create a standard library--
[00:05:00.000 --> 00:05:05.000]   well, not a standard library, a standard system calls
[00:05:05.000 --> 00:05:10.000]   so that every piece of software could be compiled
[00:05:10.000 --> 00:05:17.000]   on different UNIXes flavor but with the, you know,
[00:05:17.000 --> 00:05:22.000]   [ Pause ]
[00:05:22.000 --> 00:05:27.000]   certainty that the system calls were always the same
[00:05:27.000 --> 00:05:32.000]   so if we were assessing the R disk or the visual monitor,
[00:05:32.000 --> 00:05:36.000]   it was just a matter of having different driver
[00:05:36.000 --> 00:05:40.000]   but the code could be the same.
[00:05:40.000 --> 00:05:44.000]   As far as I know, the projects went even further
[00:05:44.000 --> 00:05:50.000]   and they created a level of compatibility
[00:05:50.000 --> 00:05:54.000]   between different flavors of the UNIX operating system
[00:05:54.000 --> 00:05:58.000]   at run time, okay?
[00:05:58.000 --> 00:06:03.000]   So you could compile a piece of code on AIX
[00:06:03.000 --> 00:06:09.000]   and run the object code on another operating system
[00:06:09.000 --> 00:06:11.000]   without any problems.
[00:06:11.000 --> 00:06:15.000]   [ Pause ]
[00:06:15.000 --> 00:06:18.000]   Which led the possibility to distribute so--
[00:06:18.000 --> 00:06:22.000]   to distribute computer programs in object code
[00:06:22.000 --> 00:06:25.000]   without having to rely on the source code.
[00:06:25.000 --> 00:06:28.000]   So you may allow-- you were allowed
[00:06:28.000 --> 00:06:32.000]   to keep the source code secret and that's it.
[00:06:32.000 --> 00:06:35.000]   You were just distributing the binary form
[00:06:35.000 --> 00:06:38.000]   and as you know, the binary form cannot be studied,
[00:06:38.000 --> 00:06:43.000]   cannot be modified well to a certain extent.
[00:06:43.000 --> 00:06:48.000]   I don't know, I grew up in a generation of video gamers
[00:06:48.000 --> 00:06:55.000]   where video game copy protection were easily circumvented by,
[00:06:55.000 --> 00:07:01.000]   you know, writing some piece of assembly code and that's it.
[00:07:01.000 --> 00:07:06.000]   Right now, it's not possible any longer because as far
[00:07:06.000 --> 00:07:10.000]   as you know, video games are playing online
[00:07:10.000 --> 00:07:16.000]   so video games are typical example of software research.
[00:07:16.000 --> 00:07:24.000]   Anyway, so we-- at the end of the '70s, beginning of the '80s,
[00:07:24.000 --> 00:07:27.000]   we see the emergence of a new industry
[00:07:27.000 --> 00:07:32.000]   which is the software industry which probably right now is one
[00:07:32.000 --> 00:07:39.000]   of the most economically powerful soft industry in the world.
[00:07:39.000 --> 00:07:42.000]   I mean, as far as I understand,
[00:07:42.000 --> 00:07:50.000]   the video games sell far more than movies, okay.
[00:07:50.000 --> 00:07:59.000]   So a huge part of the entertainment economy is based
[00:07:59.000 --> 00:08:01.000]   on software.
[00:08:01.000 --> 00:08:04.000]   More over right now, software is running anywhere
[00:08:04.000 --> 00:08:10.000]   so there is really no need to dig
[00:08:10.000 --> 00:08:12.000]   into the reasons why software--
[00:08:12.000 --> 00:08:15.000]   the software industry is now so important.
[00:08:15.000 --> 00:08:20.000]   But as you may understand, well, yes,
[00:08:20.000 --> 00:08:28.000]   now you have a digital infrastructure which allows you
[00:08:28.000 --> 00:08:31.000]   to run an object code on every--
[00:08:31.000 --> 00:08:36.000]   on almost every piece of hardware out there.
[00:08:36.000 --> 00:08:41.000]   But still, and then we need to go back to the legal system.
[00:08:41.000 --> 00:08:45.000]   Object code was not copyrightable.
[00:08:45.000 --> 00:08:49.000]   You know, you remember I told you couple of guys belonging
[00:08:49.000 --> 00:08:53.000]   to the law faculty of the Columbia University
[00:08:53.000 --> 00:08:56.000]   and Harvard University tried to register
[00:08:56.000 --> 00:09:01.000]   with the Copyright Office, US Copyright Office,
[00:09:01.000 --> 00:09:05.000]   couple of programs in object code and source code.
[00:09:05.000 --> 00:09:09.000]   They were successful with the source code but they were not
[00:09:09.000 --> 00:09:14.000]   with the object code because I told you the famous
[00:09:14.000 --> 00:09:19.000]   the White Smith Music Publishing Company versus a whole
[00:09:19.000 --> 00:09:23.000]   local company, the Naked Eye, W.
[00:09:23.000 --> 00:09:27.000]   And so that's the reason why in 1876,
[00:09:27.000 --> 00:09:35.000]   the US Congress getting aware of the fact
