Part 1

[00:00:00.000 --> 00:00:07.000]   [ Silence ]
[00:00:07.000 --> 00:00:17.000]   [ Noise ]
[00:00:17.000 --> 00:00:27.000]   [ Noise ]
[00:00:27.000 --> 00:00:37.000]   [ Noise ]
[00:00:55.000 --> 00:01:05.000]   [ Noise ]
[00:01:13.000 --> 00:01:23.000]   [ Noise ]
[00:01:37.000 --> 00:01:43.000]   [ Noise ]
[00:01:43.000 --> 00:01:53.000]   [ Inaudible Remark ]
[00:01:53.000 --> 00:01:55.000]   >> The summaries.
[00:01:55.000 --> 00:02:02.000]   So, by today you should be uploading that.
[00:02:02.000 --> 00:02:06.000]   As far as I remember you need two summaries in order to apply
[00:02:06.000 --> 00:02:08.000]   as an attendee student.
[00:02:08.000 --> 00:02:10.000]   OK? Even this one.
[00:02:10.000 --> 00:02:15.000]   [ Noise ]
[00:02:15.000 --> 00:02:18.000]   And yesterday we were talking about the legal protection
[00:02:18.000 --> 00:02:20.000]   of software.
[00:02:20.000 --> 00:02:25.000]   [ Noise ]
[00:02:25.000 --> 00:02:35.000]   I just wanted to finish by mentioning Article 6
[00:02:35.000 --> 00:02:43.000]   of the European Directive Number 24 of 2009.
[00:02:43.000 --> 00:02:54.000]   [ Inaudible Remark ]
[00:02:54.000 --> 00:02:58.000]   >> You had a question about what you explained yesterday.
[00:02:58.000 --> 00:03:03.000]   You, I think in Article 5, there was the distinction
[00:03:03.000 --> 00:03:08.000]   between software developed by a person, a normal person
[00:03:08.000 --> 00:03:11.000]   and software developed by a person under contract,
[00:03:11.000 --> 00:03:13.000]   for example, by an enterprise.
[00:03:13.000 --> 00:03:16.000]   >> Or higher, it is called, yes.
[00:03:16.000 --> 00:03:20.000]   >> And what about like independent contractors?
[00:03:20.000 --> 00:03:23.000]   Are they treated the same as employees
[00:03:23.000 --> 00:03:26.000]   for a big enterprise or?
[00:03:26.000 --> 00:03:30.000]   >> That's entirely depend on the contract.
[00:03:30.000 --> 00:03:31.000]   >> OK.
[00:03:31.000 --> 00:03:35.000]   >> So you may have very different,
[00:03:35.000 --> 00:03:38.000]   very different approaches.
[00:03:38.000 --> 00:03:43.000]   >> Think about the UNIX operating system, right?
[00:03:43.000 --> 00:03:46.000]   It was owned by AT&T.
[00:03:46.000 --> 00:03:51.000]   And AT&T made a contract with IBM, Microsoft,
[00:03:51.000 --> 00:03:56.000]   the Sun Microsystem, et cetera, et cetera, et cetera,
[00:03:56.000 --> 00:04:03.000]   to let them develop the software.
[00:04:03.000 --> 00:04:09.000]   And usually, most of those contracts are undisclosed
[00:04:09.000 --> 00:04:15.000]   and are secret so we don't actually know what's going on.
[00:04:15.000 --> 00:04:22.000]   But basically, we have a reason to believe that basically,
[00:04:22.000 --> 00:04:30.000]   the version of IBM of the UNIX operating system was at least
[00:04:30.000 --> 00:04:37.000]   with regard to the modification made by IBM were owned by IBM,
[00:04:37.000 --> 00:04:43.000]   OK, and not transferred back to AT&T.
[00:04:43.000 --> 00:04:47.000]   But that's just an assumption because we do not read.
[00:04:47.000 --> 00:04:50.000]   We didn't read the contract.
[00:04:50.000 --> 00:04:55.000]   But usually that-- that's actually a very interesting
[00:04:55.000 --> 00:05:02.000]   question because there are some piece of software--
[00:05:02.000 --> 00:05:05.000]   [ Pause ]
[00:05:05.000 --> 00:05:09.000]   Well, let me put it this way.
[00:05:09.000 --> 00:05:19.000]   I'm buying a copy of Microsoft Office Suite, OK?
[00:05:19.000 --> 00:05:25.000]   And I buy the right to run it, to use it on my computer
[00:05:25.000 --> 00:05:28.000]   with a license.
[00:05:28.000 --> 00:05:40.000]   Another hypothesis, Microsoft sells me the Office Suite
[00:05:40.000 --> 00:05:45.000]   but gives me also the source code so I can develop it
[00:05:45.000 --> 00:05:49.000]   and make a derivative work of it.
[00:05:49.000 --> 00:05:53.000]   Do you think those two licenses are the same?
[00:05:53.000 --> 00:05:55.000]   They are not.
[00:05:55.000 --> 00:06:02.000]   In Italy specifically, we are in contract law.
[00:06:02.000 --> 00:06:08.000]   We have some defined types of contract.
[00:06:08.000 --> 00:06:13.000]   Contract of sale, if I sell a car, if I sell a lunch,
[00:06:13.000 --> 00:06:17.000]   that's a contract which is highly regulated with regard
[00:06:17.000 --> 00:06:23.000]   to all these product effects and stuff like that.
[00:06:23.000 --> 00:06:26.000]   We call it sale.
[00:06:26.000 --> 00:06:30.000]   It's a specific contract with a specific set of rules.
[00:06:30.000 --> 00:06:37.000]   Then we have another contract which is rent-- renting, OK?
[00:06:37.000 --> 00:06:47.000]   If I rent you my apartment, I give you the right to use it
[00:06:47.000 --> 00:06:51.000]   for living, usually I don't give you the right to use it
[00:06:51.000 --> 00:06:54.000]   to sublet it, OK?
[00:06:54.000 --> 00:06:59.000]   That's another type of contract with very specific regulation.
[00:06:59.000 --> 00:07:04.000]   It specifies when I have to pay the rent, how I have
[00:07:04.000 --> 00:07:08.000]   to keep the apartment and stuff like that.
[00:07:08.000 --> 00:07:17.000]   Now, Italian court system didn't have a specific discipline
[00:07:17.000 --> 00:07:21.000]   of software licenses, OK?
[00:07:21.000 --> 00:07:27.000]   So at one point in time in the mid '90s,
[00:07:27.000 --> 00:07:33.000]   they had to decide which type software licenses
[00:07:33.000 --> 00:07:40.000]   to perform in order to apply the specific rules that are dictated
[00:07:40.000 --> 00:07:43.000]   for renting or saving.
[00:07:43.000 --> 00:07:48.000]   And the distinction they made was that if I give you a program
[00:07:48.000 --> 00:07:53.000]   and a source code and I let you modify it,
[00:07:53.000 --> 00:07:58.000]   maybe even sell the modification or the modified version,
[00:07:58.000 --> 00:08:01.000]   that's a sale.
[00:08:01.000 --> 00:08:06.000]   And the rules of sales are going to be applied.
[00:08:06.000 --> 00:08:10.000]   On the other side, if you have a software license
[00:08:10.000 --> 00:08:14.000]   for using the program but not developing it,
[00:08:14.000 --> 00:08:19.000]   that's a rent, sort of rental.
[00:08:19.000 --> 00:08:24.000]   That was-- technicality is used by Italian judges in order
[00:08:24.000 --> 00:08:30.000]   to understand which rules related to those specific types
[00:08:30.000 --> 00:08:35.000]   of contract applied in those different situations, OK?
[00:08:35.000 --> 00:08:42.000]   So what I'm trying to say is the fact that it is a mess.
[00:08:42.000 --> 00:08:44.000]   Unless you read the contract,
[00:08:44.000 --> 00:08:48.000]   you don't know actually what's going on, OK?
[00:08:48.000 --> 00:08:54.000]   So in your example, it's very difficult
[00:08:54.000 --> 00:08:59.000]   to understand the boundaries between renting and selling.
[00:08:59.000 --> 00:09:04.000]   OK? I don't know whether this answers your question.
[00:09:04.000 --> 00:09:05.000]   Not entirely.
[00:09:05.000 --> 00:09:09.000]   >> Yes. I took-- like there was going to be--
[00:09:09.000 --> 00:09:15.000]   >> What I'm trying to say is that when you are writing software
[00:09:15.000 --> 00:09:21.000]   for someone else, OK, that activity is regulated
[00:09:21.000 --> 00:09:26.000]   by the contract or labor contract.
[00:09:26.000 --> 00:09:30.000]   So the general rule set by--
[00:09:30.000 --> 00:09:42.000]   -- Article 2, Number 3 is that generally speaking,
[00:09:42.000 --> 00:09:48.000]   every piece of software written by an employee belongs
[00:09:48.000 --> 00:09:50.000]   to the employer.
[00:09:50.000 --> 00:09:53.000]   Keep in mind that there is also the more--
[00:09:53.000 --> 00:09:57.000]   the so-called moral right that's not related
[00:09:57.000 --> 00:10:00.000]   to the economic exploitation of the program.
[00:10:00.000 --> 00:10:03.000]   But that's just the general rule.
[00:10:03.000 --> 00:10:09.000]   So your specific contract, labor contract, may be different
[00:10:09.000 --> 00:10:13.000]   and may allow you to keep the software.
[00:10:13.000 --> 00:10:18.000]   So you have to see that rule as the default.
[00:10:18.000 --> 00:10:24.000]   But that can be configured in order to change it.
[00:10:24.000 --> 00:10:29.000]   So generally speaking, every work of hire belongs
[00:10:29.000 --> 00:10:34.000]   to the employer but there are situations
[00:10:34.000 --> 00:10:41.000]   where the employer buys the final product
[00:10:41.000 --> 00:10:46.000]   which still belongs to the employee.
[00:10:46.000 --> 00:10:49.000]   Is that clear?
[00:10:49.000 --> 00:10:50.000]   Not entirely?
[00:10:50.000 --> 00:10:55.000]   >> Yes, because for example if I am an employee for an enterprise
[00:10:55.000 --> 00:10:58.000]   and I do-- and I write a program--
[00:10:58.000 --> 00:11:00.000]   >> Let me add something more.
[00:11:00.000 --> 00:11:02.000]   >> OK.
[00:11:02.000 --> 00:11:07.000]   >> In the US and the Anglo-Saxon tradition, the relationship
[00:11:07.000 --> 00:11:11.000]   between the employer and the employee was called master
[00:11:11.000 --> 00:11:17.000]   and servant, OK, and that master and servant relationship is
[00:11:17.000 --> 00:11:20.000]   highly regulated by the law.
[00:11:20.000 --> 00:11:23.000]   We call it law or law indeed.
[00:11:23.000 --> 00:11:29.000]   Nowadays instead, we have very different types of relationships
[00:11:29.000 --> 00:11:34.000]   between enterprises and individuals.
[00:11:34.000 --> 00:11:40.000]   We call them contractor but they are not employees, OK.
[00:11:40.000 --> 00:11:44.000]   So in order to understand the relationship,
[00:11:44.000 --> 00:11:49.000]   you need to read the contract because we have such a variety
[00:11:49.000 --> 00:11:52.000]   of possible different relationships
[00:11:52.000 --> 00:12:00.000]   that it's not possible to assume them into a single framework.
[00:12:00.000 --> 00:12:05.000]   So traditionally, we had the master and servant relationship
[00:12:05.000 --> 00:12:09.000]   in which case, paragraph 3 of article 2
[00:12:09.000 --> 00:12:13.000]   of the European directive applies.
[00:12:13.000 --> 00:12:18.000]   But you can also outsource the creation of the software
[00:12:18.000 --> 00:12:22.000]   to someone else to an independent coder,
[00:12:22.000 --> 00:12:27.000]   in which case the ownership of the coder written
[00:12:27.000 --> 00:12:31.000]   by that independent coder may be very different
[00:12:31.000 --> 00:12:36.000]   and usually it is specified by the contract.
[00:12:36.000 --> 00:12:43.000]   I would say that practically every time someone
[00:12:43.000 --> 00:12:50.000]   hires an independent contractor to write a piece of code,
[00:12:50.000 --> 00:12:56.000]   the coder will belong to the person hiring the coder.
[00:12:56.000 --> 00:13:01.000]   But that's not written in the law.
