[00:00:00.000 --> 00:00:04.000]   [ Inaudible ]
[00:00:04.000 --> 00:00:07.000]   >> Today, first of all, they are processing.
[00:00:07.000 --> 00:00:13.000]   We have been looking at some definitions.
[00:00:13.000 --> 00:00:29.000]   And today, we are going to analyze specific rules.
[00:00:29.000 --> 00:00:41.000]   There are basically two categories of personal data.
[00:00:41.000 --> 00:00:47.000]   The first one is, you know, general personal data,
[00:00:47.000 --> 00:00:52.000]   which may lead to the identification of a person.
[00:00:52.000 --> 00:00:57.000]   And then we have special configuration of personal data
[00:00:57.000 --> 00:01:04.000]   that are identified by Article 9 of each ER.
[00:01:04.000 --> 00:01:10.000]   Article 9 deals with the processing of personal data,
[00:01:10.000 --> 00:01:14.000]   or if you're repeating a rational or ethnic region
[00:01:14.000 --> 00:01:19.000]   political opinions, religious or philosophical beliefs,
[00:01:19.000 --> 00:01:26.000]   trade human membership, genetic data, biometric data,
[00:01:26.000 --> 00:01:32.000]   data conserving hands and the conserving natural persons,
[00:01:32.000 --> 00:01:36.000]   sex life, sexual orientation, stuff like that.
[00:01:36.000 --> 00:01:42.000]   So these, using the terminology of the directing,
[00:01:42.000 --> 00:01:47.000]   these are sensitive personal data,
[00:01:47.000 --> 00:01:55.000]   which need to be regulated in a different way,
[00:01:55.000 --> 00:02:04.000]   even though if we look at, you know, Article 9,
[00:02:04.000 --> 00:02:11.000]   Article 9 says that basically the processing of sensitive personal data
[00:02:11.000 --> 00:02:13.000]   is prohibited, okay?
[00:02:13.000 --> 00:02:16.000]   That should be the rule.
[00:02:16.000 --> 00:02:24.000]   But then in photograph two, there are a few number of exceptions.
[00:02:24.000 --> 00:02:34.000]   Which basically means that the processing of sensitive personal data
[00:02:34.000 --> 00:02:37.000]   is far from being prohibited,
[00:02:37.000 --> 00:02:44.000]   even though as we will see, a letter A says that member state
[00:02:44.000 --> 00:03:02.000]   may be prohibiting, well, first of all, you see that
[00:03:02.000 --> 00:03:08.000]   letter A says that if the data subject has given explicit consent
[00:03:08.000 --> 00:03:11.000]   to the processing of those personal data,
[00:03:11.000 --> 00:03:15.000]   then the processing is allowed.
[00:03:15.000 --> 00:03:23.000]   So consent is going to leave the prohibition, okay?
[00:03:23.000 --> 00:03:30.000]   Though member state shall provide that the prohibition
[00:03:30.000 --> 00:03:36.000]   may not be left by the consent, okay?
[00:03:36.000 --> 00:03:46.000]   So that's basically an exception to the unification principle
[00:03:46.000 --> 00:03:53.000]   of the law on privacy, because you remember we said that
[00:03:53.000 --> 00:04:02.000]   deregulation is immediately and directly binding in every member state
[00:04:02.000 --> 00:04:08.000]   without the requirement of implementation or like the directive, okay?
[00:04:08.000 --> 00:04:15.000]   So the directive harmonizes the laws of different member states
[00:04:15.000 --> 00:04:20.000]   by providing a set of basic principles which must be translated
[00:04:20.000 --> 00:04:26.000]   into national legislation, whereas the regulation instead is immediately binding.
[00:04:26.000 --> 00:04:30.000]   Nonetheless, when talking about sensitive data,
[00:04:30.000 --> 00:04:36.000]   we see that member states are allowed to change the default rule.
[00:04:36.000 --> 00:04:42.000]   So the default rule is sensitive data cannot be processed
[00:04:42.000 --> 00:04:46.000]   unless there is a specific consent.
[00:04:46.000 --> 00:04:51.000]   But member state may arise, if you want,
[00:04:51.000 --> 00:05:01.000]   the level of protection by prohibiting that consent is enough to leave the deprivation.
[00:05:01.000 --> 00:05:10.000]   Then there are other exceptions like processing is necessary
[00:05:10.000 --> 00:05:13.000]   for the purposes of giving out the obligations
[00:05:13.000 --> 00:05:19.000]   and exercising specific rights of the controller or the data subjects
[00:05:19.000 --> 00:05:24.000]   in the field of environmental employment, social security,
[00:05:24.000 --> 00:05:31.000]   social protection law, and so on and so forth.
[00:05:31.000 --> 00:05:36.000]   Precising is necessary to protect the vital interest of the data subject
[00:05:36.000 --> 00:05:41.000]   or of another national person where the data subject is physically
[00:05:41.000 --> 00:05:46.000]   or legally incapable of giving consent.
[00:05:46.000 --> 00:05:52.000]   Anyway, as you see, unlike normal personal data,
[00:05:52.000 --> 00:05:57.000]   there are more restrictions when talking about sensitive data.
[00:05:57.000 --> 00:06:02.000]   And the reason is that sensitive personal data may,
[00:06:02.000 --> 00:06:10.000]   the knowledge of sensitive personal data may give the data controller
[00:06:10.000 --> 00:06:13.000]   some advantage, some power.
