[00:00:00.000 --> 00:00:04.000]   Digital rivinagement system and trusted computing.
[00:00:04.000 --> 00:00:07.000]   Do you know what trusted computing is?
[00:00:07.000 --> 00:00:16.000]   Do you ever hear the expression?
[00:00:16.000 --> 00:00:18.000]   No?
[00:00:18.000 --> 00:00:20.000]   I should put it down.
[00:00:20.000 --> 00:00:26.000]   So that's interesting because trusted computing is everywhere.
[00:00:26.000 --> 00:00:30.000]   Even though you're not probably aware of it.
[00:00:30.000 --> 00:00:36.000]   Do you ever hear about a secure boot?
[00:00:36.000 --> 00:00:37.000]   Yes?
[00:00:37.000 --> 00:00:44.000]   You know that starting with Windows 10, as far as I remember, no?
[00:00:44.000 --> 00:00:53.000]   In order to boot the Windows operating system, you need to have the so-called secure boot enabled.
[00:00:53.000 --> 00:00:56.000]   Which means trusted computing.
[00:00:56.000 --> 00:01:04.000]   Trusted computing is on every cell phone, on every laptop, sold everywhere.
[00:01:04.000 --> 00:01:15.000]   So we will be talking about trusted computing and what it's meant to do and why.
[00:01:15.000 --> 00:01:30.000]   And some final consideration about, well, intellectual property and digital way of implementing the exclusive right.
[00:01:30.000 --> 00:01:42.000]   If you remember, when I'm talking about the Eastern of copyright, we have been finishing our journey by talking about the white copyright treaty of 1986.
[00:01:42.000 --> 00:01:49.000]   It was a treaty adopted with the Indian World Intellectual Property Organization.
[00:01:49.000 --> 00:01:56.000]   It is probably the last piece of important legislation regarding copyright.
[00:01:56.000 --> 00:02:04.000]   And there are two articles in that treaty which are quite important. Article 11 and Article 12.
[00:02:04.000 --> 00:02:12.000]   Article 11 is titled "Obligations conserving technological measures".
[00:02:12.000 --> 00:02:33.000]   And it states that "Contracting parties shall provide adequate legal protection and effective legal remedies against the circumvention of effective technological measures that are used by authors in connection with the exercise of their rights under this treaty or the Bergen Convention
[00:02:33.000 --> 00:02:44.000]   to restrict acts in respect of their work which are not authorized by the outdoors, concerned or permitted by law".
[00:02:44.000 --> 00:03:00.000]   So Article 11 of the white copyright treaty of 1986 states that "What are called digital rights management systems should be protected by the legal system".
[00:03:00.000 --> 00:03:16.000]   That is to say, circumvention of digital rights management systems are to be considered illegal and there should be legal remedies against those actions.
[00:03:16.000 --> 00:03:41.000]   And that's quite interesting because as we will see, the major implementations of the white copyright treaty by the European Union and by the United States with a digital millennium copyright type of 1998.
[00:03:41.000 --> 00:04:01.000]   Actually, they do not protect against the circumvention of effective technological measures when used to restrict acts which are not authorized or permitted by the law.
[00:04:01.000 --> 00:04:15.000]   But they just protect the digital rights management systems regardless of the code they are used for.
[00:04:15.000 --> 00:04:42.000]   Which means that basically copyright holders or authors, but usually authors are not the real copyright holders, may restrict by using digital technologies any possible use of a digital intellectual work.
[00:04:42.000 --> 00:04:49.000]   You remember we have been talking about the first state doctrine.
[00:04:49.000 --> 00:05:09.000]   And I told you that first state doctrine is quite an obscure legal institution which on the other side gives you the power to do whatever you want with a copy of an intellectual work you are.
[00:05:09.000 --> 00:05:14.000]   You own it illegally.
[00:05:14.000 --> 00:05:31.000]   It makes it possible to plant a book, to burn it, to read it once, twice, three times, to borrow it or to sell it to another person.
[00:05:31.000 --> 00:05:34.000]   That's the first state doctrine.
[00:05:34.000 --> 00:05:43.000]   Every time I sell a copy of an intellectual work I lose any further distribution right on that copy.
[00:05:43.000 --> 00:05:57.000]   That's quite important because it makes me the owner of the medium through which the intellectual work is distributed.
[00:05:57.000 --> 00:06:04.000]   I didn't see anything about that.
[00:06:04.000 --> 00:06:12.000]   Did I tell you something about Alice in Wonderland?
[00:06:12.000 --> 00:06:15.000]   Yes, I did.
[00:06:15.000 --> 00:06:27.000]   So you remember Alice in Wonderland is a book in the public domain but still Adobe decided to distribute it in a digital format.
[00:06:27.000 --> 00:06:33.000]   Actually that copy was taken from the Gutenberg Project.
[00:06:33.000 --> 00:06:39.000]   Remember we have been talking about the Gutenberg Project when talking about the Android games.
[00:06:39.000 --> 00:06:45.000]   Creative commerce and kind of stuff.
[00:06:45.000 --> 00:06:59.000]   And it was very funny because one of the permissions or the obligations of the license through which that book was distributed was prohibiting to read that book aloud.
[00:06:59.000 --> 00:07:03.000]   But who cares?
[00:07:03.000 --> 00:07:07.000]   You know how the legal system works.
[00:07:07.000 --> 00:07:21.000]   If you are violating a prescription of a software license, well, it's up to the copyright owner to bring you to court.
[00:07:21.000 --> 00:07:29.000]   And the judge will decide whether that close of the license is legally binding or not.
[00:07:29.000 --> 00:07:37.000]   And honestly, the legal requirement not to read the book aloud is not binding.
[00:07:37.000 --> 00:07:42.000]   It's just bullshit.
[00:07:42.000 --> 00:07:52.000]   And so there was no way for Adobe to enforce that license or that part of the license.
[00:07:52.000 --> 00:08:07.000]   But still you can imagine a digital work protected by a digital right management system that allows you to read a book just once or twice and not more.
[00:08:07.000 --> 00:08:13.000]   So you do not own the book. You just have the permission to read it.
[00:08:13.000 --> 00:08:17.000]   The same for a movie.
[00:08:17.000 --> 00:08:30.000]   When I was younger, it was possible to buy a movie in a DVD format or in a video set.
[00:08:30.000 --> 00:08:35.000]   And it was possible to borrow it.
[00:08:35.000 --> 00:08:38.000]   It was possible to lend it.
[00:08:38.000 --> 00:08:43.000]   It was possible to watch it how many times you wanted it.
[00:08:43.000 --> 00:09:04.000]   So Article 11 of the copyright treaty protects digital rights management system and it protects basically the possibility of authors to impose any restriction which can be implemented with a digital technology.
[00:09:04.000 --> 00:09:14.000]   Article 12 instead talks about digital right management information.
[00:09:14.000 --> 00:09:24.000]   That is to say what you need for a digital right management system are two basic components.
[00:09:24.000 --> 00:09:31.000]   The first one is the component which is going to restrict any action which is not permitted.
[00:09:31.000 --> 00:09:39.000]   And the second one is a way of expressing what is permitted and what is not permitted.
[00:09:39.000 --> 00:09:59.000]   So why Article 11 protects the first component of the digital fence or digital, how can I call it, digital way of excluding people from the level working.
[00:09:59.000 --> 00:10:25.000]   Article 12 instead says that it is not permitted to remove or alter any right management information which is the digital translation of a software or distribution license.
[00:10:25.000 --> 00:10:38.000]   And you see, the parties shall provide an effective league of remedies against any person normally performing one of the following nuts.
[00:10:38.000 --> 00:10:45.000]   To remove or alter any electronic right management information without authority.
[00:10:45.000 --> 00:11:06.000]   To distribute import or distribution, broadcast or communicate to the public without authority, works or copies of works knowing that electronic right management information has been removed or altered without authority.
