[00:00:00.000 --> 00:00:06.000]   Okay, so today the topic of the class is computer ethics,
[00:00:06.000 --> 00:00:12.000]   as you probably have seen from the calendar.
[00:00:12.000 --> 00:00:13.000]   Yes.
[00:00:13.000 --> 00:00:25.000]   So I would like you to use a file in your computer or piece of paper as you prefer,
[00:00:25.000 --> 00:00:34.000]   to collect the answer to a few questions that I will ask you during this class,
[00:00:34.000 --> 00:00:47.000]   which are useful for connecting theoretical concepts with something which is more related to your view of the world.
[00:00:47.000 --> 00:00:49.000]   Because ethics has to do with this.
[00:00:49.000 --> 00:00:59.000]   So let's start with a question. The question is what is ethics for you?
[00:00:59.000 --> 00:01:16.000]   This question I'm not asking you to submit your answer or anything, so it's up to you if you want to copy and paste the definition
[00:01:16.000 --> 00:01:31.000]   of what you think is a reliable source or if you want to try to see what is your own attempt to define what is ethics.
[00:01:31.000 --> 00:01:56.000]   Maybe you want to share or not, it doesn't matter.
[00:01:56.000 --> 00:02:05.000]   [INAUDIBLE]
[00:02:05.000 --> 00:02:17.000]   [INAUDIBLE]
[00:02:17.000 --> 00:02:27.000]   [INAUDIBLE]
[00:02:27.000 --> 00:02:37.000]   [INAUDIBLE]
[00:02:37.000 --> 00:02:57.000]   [INAUDIBLE]
[00:02:57.000 --> 00:03:13.000]   OK. So maybe we can hear some of your definition if you like, but before let me show you one which is maybe something we would not like to subscribe to.
[00:03:13.000 --> 00:03:17.000]   But it's interesting to look at.
[00:03:17.000 --> 00:03:32.000]   This is a comic strip, Peers Before Swine, and the characters in this strip are animals, the goat and the mouse in this case.
[00:03:32.000 --> 00:03:48.000]   In general, the mouse in this comic is a character which is very cynical, somehow negative, bad guy, and the goat is the good guy.
[00:03:48.000 --> 00:04:04.000]   The mouse says, I concluded that the key to living an ethical life is to always pose before I do anything, and that's myself the key moral question, which is what?
[00:04:04.000 --> 00:04:08.000]   And the answer is, can I get away with it?
[00:04:08.000 --> 00:04:18.000]   I don't think that's more accessible, but not if you get caught. So somehow, can I get away with it?
[00:04:18.000 --> 00:04:24.000]   And if I do not get caught, that would be fun.
[00:04:24.000 --> 00:04:48.000]   Which is fun, and it's fun because you see the distance, but also it's fun because I don't know about you, but many people, I can include myself in this, in a few, at least occasions in life,
[00:04:48.000 --> 00:05:12.000]   do something which is not really acceptable, but, you know, okay, is it right to cross a traffic light which is red?
[00:05:12.000 --> 00:05:31.000]   No. Okay? But what if there is nobody around? No people, no cars, no bicycle, no nothing. The traffic light is there. It's a different cross between two roads.
[00:05:31.000 --> 00:05:42.000]   Maybe it's just a, you have the traffic light for pedestrians to cross the street, and there is no pedestrian surround.
[00:05:42.000 --> 00:05:51.000]   You are there one minute, and you're still there.
[00:05:51.000 --> 00:06:01.000]   Do you think it is ethical to pass? Well, maybe in general not, but in this particular situation, yes.
[00:06:01.000 --> 00:06:09.000]   But if there is a chance that you are caught, would you pass?
[00:06:09.000 --> 00:06:18.000]   If you notice a camera on the traffic light, you say, okay, maybe I wait for another few minutes.
[00:06:18.000 --> 00:06:34.000]   So that means basically the same. If you're not caught, if you are a good chance not to be caught, in that particular situation, you say, okay, there is no reason, no reason.
[00:06:34.000 --> 00:06:51.000]   Check, double check, triple check, and then what do you do? So, let's see if you like some of your definitions.
[00:06:51.000 --> 00:06:56.000]   Yes?
[00:06:56.000 --> 00:07:17.000]   You have to speak very loud because there is the meeting system.
[00:07:17.000 --> 00:07:41.000]   We will see something very similar. Your colleague is basically saying that ethics is guiding the actions according to moral principles, which are related, let me say, to what is beneficial or not, harmful or not, regarding others and the self.
[00:07:41.000 --> 00:07:56.000]   And what is more important, the self or the others is a matter of exploration.
